ctg window ns cs ss all ns.cs ns.ss cs.ss nsites
000000F|quiver|pilon 1 250.041013584117 292.237319511292 278.741532976827 281.647095761381 290.515970515971 286.725935828877 290.019077901431 216971
000000F|quiver|pilon 2 156.596656217346 251.52610144391 260.381461675579 218.884249084249 222.331695331695 225.766711229947 252.25039745628 226039
000000F|quiver|pilon 3 131.468652037618 189.911144020733 197.078431372549 168.704500261643 168.84183046683 173.766711229947 189.889507154213 216992
000000F|quiver|pilon 4 99.5859456635319 139.112550907071 144.313725490196 124.923495552067 124.860257985258 128.726604278075 139.558823529412 212007
000000F|quiver|pilon 5 180.894723092999 224.545723805998 218.130124777184 208.398534798535 210.608722358722 212.506684491979 220.134340222576 223372
000000F|quiver|pilon 6 269.409090909091 191.20844131803 267.597147950089 244.59748822606 243.014742014742 265.080213903743 238.772655007949 220820
000000F|quiver|pilon 7 168.349007314525 121.564975934839 196.668449197861 159.757090528519 149.568796068796 185.695187165775 174.97933227345 221300
000000F|quiver|pilon 8 252.345611285266 218.085153646797 251.367201426025 248.130402930403 237.67414004914 270.504679144385 273.705882352941 239227
000000F|quiver|pilon 9 243.958463949843 280.565346168086 145.74688057041 274.544636316065 276.048832923833 312.45320855615 294.361685214626 244604
000000F|quiver|pilon 10 133.848746081505 131.910773787486 91.7736185383244 130.095290423862 136.652948402948 124.354278074866 120.834658187599 233697
000000F|quiver|pilon 11 281.240334378265 264.451684561274 206.745098039216 283.011930926217 305.685196560197 293.260695187166 251.766295707472 236597
000000F|quiver|pilon 12 260.508098223615 238.328026656794 141.998217468806 253.276609105181 275.881756756757 272.138368983957 202.196343402226 236642
000000F|quiver|pilon 13 262.614420062696 196.621621621622 146.814616755793 237.538356881214 263.780712530713 254.105614973262 175.9173290938 233985
000000F|quiver|pilon 14 145.083333333333 68.9881525360977 122.976827094474 117.088330716902 118.820331695332 135.363636363636 98.6033386327504 231874
000000F|quiver|pilon 15 264.353709508882 191.194742687893 257.463458110517 241.408267922554 240.754914004914 264.355614973262 231.225755166932 238565
000000F|quiver|pilon 16 174.284743991641 253.116253239541 271.176470588235 232.561957090529 230.718058968059 259.612299465241 263.157392686804 238328
000000F|quiver|pilon 17 422.799895506792 430.17697149204 361.666666666667 418.915907901622 426.397727272727 409.808155080214 405.148648648649 226375
000000F|quiver|pilon 18 205.256008359457 248.290633098852 221.29055258467 228.392412349555 229.107186732187 227.751336898396 242.72813990461 227214
000000F|quiver|pilon 19 219.10684430512 295.852647167716 258.805704099822 265.380586080586 282.417997542998 244.177139037433 285.655802861685 236608
000000F|quiver|pilon 20 283.087774294671 410.665679378008 350.77183600713 364.285347985348 390.584152334152 355.242647058824 383.732909379968 233135
000000F|quiver|pilon 21 319.917189132706 316.873750462792 305.465240641711 350.156619570905 380.811732186732 391.722593582888 313.087440381558 227103
000000F|quiver|pilon 22 372.968390804598 305.769344687153 298.798573975045 347.066562009419 365.961609336609 354.41243315508 305.113672496025 229654
000000F|quiver|pilon 23 212.188087774295 251.979637171418 87.7005347593583 214.10293040293 237.055896805897 175.298796791444 191.276629570747 234220
000000F|quiver|pilon 24 284.505224660397 271.196593854128 274.67201426025 284.565515436944 293.231572481572 288.427807486631 274.192368839428 219501
000000F|quiver|pilon 25 104.528213166144 94.8611625323954 91.8057040998218 104.214495028781 109.506142506143 109.450534759358 96.6224165341812 205095
000000F|quiver|pilon 26 270.899164054336 271.302480562755 198.693404634581 270.218053375196 295.995393120393 245.698529411765 246.406200317965 228098
000000F|quiver|pilon 27 262.260449320794 292.04850055535 127.155080213904 266.707064364207 289.513820638821 233.022058823529 258.412559618442 229113
000000F|quiver|pilon 28 214.084117032393 231.439837097371 110.007130124777 215.070172684458 226.157248157248 191.81550802139 221.381558028617 233696
000000F|quiver|pilon 29 177.283960292581 178.747500925583 100.197860962567 172.55557299843 176.804054054054 165.963235294118 171.691573926868 232469
000000F|quiver|pilon 30 265.912748171369 288.071084783414 157.229946524064 267.531658817373 280.855343980344 245.229946524064 264.575516693164 233554
000000F|quiver|pilon 31 211.974660397074 149.076268048871 174.973262032086 186.594662480377 191.855958230958 199.081550802139 162.381558028617 231708
